sample_id,label,captured_at,rgb_image,skeleton_image,people_count,left_shoulder_x,left_shoulder_y,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_visibility,left_hip_x,left_hip_y,left_hip_visibility,right_hip_x,right_hip_y,right_hip_visibility,landmarks_json
sample_0001,upper_body,2026-08-17T04:29:06.511+09:00,sample_0001_upper_body_20260817_042906_510329_rgb.jpg,sample_0001_upper_body_20260817_042906_510329_skeleton.jpg,1,0.540867,0.488727,0.998081,0.376788,0.490346,0.998736,0.515418,0.83826,0.978713,0.422628,0.834628,0.981736,"[{""index"":0,""x"":0.48923,""y"":0.357351,""visibility"":0.997449},{""index"":1,""x"":0.498045,""y"":0.334754,""visibility"":0.997232},{""index"":2,""x"":0.502946,""y"":0.33547,""visibility"":0.997188},{""index"":3,""x"":0.507614,""y"":0.336435,""visibility"":0.996701},{""index"":4,""x"":0.47918,""y"":0.329831,""visibility"":0.997508},{""index"":5,""x"":0.47083,""y"":0.32766,""visibility"":0.997722},{""index"":6,""x"":0.463099,""y"":0.32609,""visibility"":0.997659},{""index"":7,""x"":0.505775,""y"":0.344162,""visibility"":0.996544},{""index"":8,""x"":0.447181,""y"":0.333618,""visibility"":0.998408},{""index"":9,""x"":0.495252,""y"":0.379323,""visibility"":0.998862},{""index"":10,""x"":0.469563,""y"":0.375566,""visibility"":0.999161},{""index"":11,""x"":0.540867,""y"":0.488727,""visibility"":0.998081},{""index"":12,""x"":0.376788,""y"":0.490346,""visibility"":0.998736},{""index"":13,""x"":0.562194,""y"":0.660006,""visibility"":0.730386},{""index"":14,""x"":0.354078,""y"":0.67227,""visibility"":0.931463},{""index"":15,""x"":0.509068,""y"":0.719444,""visibility"":0.458076},{""index"":16,""x"":0.442483,""y"":0.687861,""visibility"":0.791982},{""index"":17,""x"":0.495312,""y"":0.752478,""visibility"":0.417331},{""index"":18,""x"":0.470343,""y"":0.705848,""visibility"":0.745954},{""index"":19,""x"":0.489991,""y"":0.734101,""visibility"":0.436022},{""index"":20,""x"":0.47615,""y"":0.676139,""visibility"":0.743727},{""index"":21,""x"":0.489982,""y"":0.723848,""visibility"":0.446012},{""index"":22,""x"":0.46978,""y"":0.670492,""visibility"":0.73029},{""index"":23,""x"":0.515418,""y"":0.83826,""visibility"":0.978713},{""index"":24,""x"":0.422628,""y"":0.834628,""visibility"":0.981736},{""index"":25,""x"":0.520762,""y"":1.048792,""visibility"":0.620334},{""index"":26,""x"":0.420479,""y"":1.067169,""visibility"":0.655336},{""index"":27,""x"":0.510621,""y"":1.256639,""visibility"":0.202759},{""index"":28,""x"":0.440892,""y"":1.269481,""visibility"":0.222869}]"
sample_0002,upper_body,2026-08-17T04:29:07.330+09:00,sample_0002_upper_body_20260817_042907_329212_rgb.jpg,sample_0002_upper_body_20260817_042907_329212_skeleton.jpg,1,0.540866,0.490501,0.998947,0.372654,0.488276,0.99925,0.506737,0.830782,0.992795,0.414171,0.826316,0.99418,"[{""index"":0,""x"":0.485663,""y"":0.361488,""visibility"":0.997893},{""index"":1,""x"":0.491317,""y"":0.338305,""visibility"":0.997613},{""index"":2,""x"":0.495493,""y"":0.338183,""visibility"":0.997566},{""index"":3,""x"":0.499331,""y"":0.338296,""visibility"":0.997285},{""index"":4,""x"":0.474996,""y"":0.335531,""visibility"":0.997917},{""index"":5,""x"":0.467009,""y"":0.333921,""visibility"":0.998132},{""index"":6,""x"":0.459165,""y"":0.33255,""visibility"":0.99819},{""index"":7,""x"":0.495846,""y"":0.344987,""visibility"":0.997144},{""index"":8,""x"":0.442663,""y"":0.3404,""visibility"":0.998721},{""index"":9,""x"":0.49071,""y"":0.3818,""visibility"":0.99923},{""index"":10,""x"":0.467885,""y"":0.380265,""visibility"":0.999398},{""index"":11,""x"":0.540866,""y"":0.490501,""visibility"":0.998947},{""index"":12,""x"":0.372654,""y"":0.488276,""visibility"":0.99925},{""index"":13,""x"":0.563571,""y"":0.656342,""visibility"":0.891622},{""index"":14,""x"":0.350131,""y"":0.671818,""visibility"":0.954308},{""index"":15,""x"":0.512709,""y"":0.706439,""visibility"":0.706494},{""index"":16,""x"":0.422667,""y"":0.687524,""visibility"":0.848094},{""index"":17,""x"":0.4844,""y"":0.731232,""visibility"":0.627609},{""index"":18,""x"":0.441133,""y"":0.692913,""visibility"":0.807764},{""index"":19,""x"":0.495275,""y"":0.714635,""visibility"":0.637369},{""index"":20,""x"":0.45042,""y"":0.675651,""visibility"":0.808672},{""index"":21,""x"":0.493739,""y"":0.705064,""visibility"":0.656218},{""index"":22,""x"":0.44196,""y"":0.670707,""visibility"":0.801625},{""index"":23,""x"":0.506737,""y"":0.830782,""visibility"":0.992795},{""index"":24,""x"":0.414171,""y"":0.826316,""visibility"":0.99418},{""index"":25,""x"":0.512439,""y"":1.044399,""visibility"":0.719975},{""index"":26,""x"":0.413033,""y"":1.057289,""visibility"":0.755457},{""index"":27,""x"":0.491574,""y"":1.236241,""visibility"":0.240061},{""index"":28,""x"":0.424661,""y"":1.249888,""visibility"":0.295535},{""index"":29,""x"":0.489005,""y"":1.260851,""visibility"":0.200871},{""index"":30,""x"":0.423374,""y"":1.273131,""visibility"":0.203866}]"
sample_0003,upper_body,2026-08-17T04:29:08.133+09:00,sample_0003_upper_body_20260817_042908_131343_rgb.jpg,sample_0003_upper_body_20260817_042908_131343_skeleton.jpg,1,0.539998,0.482434,0.999561,0.370285,0.485979,0.999256,0.509578,0.815926,0.997399,0.413515,0.81508,0.997166,"[{""index"":0,""x"":0.47384,""y"":0.361295,""visibility"":0.998996},{""index"":1,""x"":0.480207,""y"":0.337345,""visibility"":0.998726},{""index"":2,""x"":0.484987,""y"":0.337084,""visibility"":0.998731},{""index"":3,""x"":0.489474,""y"":0.336934,""visibility"":0.998685},{""index"":4,""x"":0.462159,""y"":0.335652,""visibility"":0.998765},{""index"":5,""x"":0.454138,""y"":0.334439,""visibility"":0.998774},{""index"":6,""x"":0.446226,""y"":0.333567,""visibility"":0.998726},{""index"":7,""x"":0.489389,""y"":0.343411,""visibility"":0.998862},{""index"":8,""x"":0.432713,""y"":0.342181,""visibility"":0.999026},{""index"":9,""x"":0.481734,""y"":0.381039,""visibility"":0.999576},{""index"":10,""x"":0.457425,""y"":0.380307,""visibility"":0.999561},{""index"":11,""x"":0.539998,""y"":0.482434,""visibility"":0.999561},{""index"":12,""x"":0.370285,""y"":0.485979,""visibility"":0.999256},{""index"":13,""x"":0.575125,""y"":0.637067,""visibility"":0.91848},{""index"":14,""x"":0.35346,""y"":0.667765,""visibility"":0.875681},{""index"":15,""x"":0.571374,""y"":0.762692,""visibility"":0.722233},{""index"":16,""x"":0.371409,""y"":0.764104,""visibility"":0.629888},{""index"":17,""x"":0.558326,""y"":0.814417,""visibility"":0.659624},{""index"":18,""x"":0.38155,""y"":0.810531,""visibility"":0.613873},{""index"":19,""x"":0.555128,""y"":0.796166,""visibility"":0.673192},{""index"":20,""x"":0.387334,""y"":0.796002,""visibility"":0.628407},{""index"":21,""x"":0.554476,""y"":0.783266,""visibility"":0.699152},{""index"":22,""x"":0.391404,""y"":0.782484,""visibility"":0.643553},{""index"":23,""x"":0.509578,""y"":0.815926,""visibility"":0.997399},{""index"":24,""x"":0.413515,""y"":0.81508,""visibility"":0.997166},{""index"":25,""x"":0.50852,""y"":1.025745,""visibility"":0.688049},{""index"":26,""x"":0.416097,""y"":1.026303,""visibility"":0.771327},{""index"":27,""x"":0.495529,""y"":1.186905,""visibility"":0.30549},{""index"":28,""x"":0.422334,""y"":1.205737,""visibility"":0.370225},{""index"":29,""x"":0.49323,""y"":1.205976,""visibility"":0.275227},{""index"":30,""x"":0.423503,""y"":1.227381,""visibility"":0.345878},{""index"":31,""x"":0.489868,""y"":1.273638,""visibility"":0.225246},{""index"":32,""x"":0.429276,""y"":1.298187,""visibility"":0.229363}]"
sample_0004,upper_body,2026-08-17T04:29:09.304+09:00,sample_0004_upper_body_20260817_042909_302683_rgb.jpg,sample_0004_upper_body_20260817_042909_302683_skeleton.jpg,1,0.549193,0.479403,0.999879,0.381271,0.464177,0.99987,0.506754,0.800555,0.999683,0.414372,0.801973,0.999654,"[{""index"":0,""x"":0.490976,""y"":0.354693,""visibility"":0.998617},{""index"":1,""x"":0.495446,""y"":0.330652,""visibility"":0.997957},{""index"":2,""x"":0.49926,""y"":0.331032,""visibility"":0.997901},{""index"":3,""x"":0.502916,""y"":0.33136,""visibility"":0.997713},{""index"":4,""x"":0.479531,""y"":0.327669,""visibility"":0.997909},{""index"":5,""x"":0.471471,""y"":0.326152,""visibility"":0.997868},{""index"":6,""x"":0.463504,""y"":0.325267,""visibility"":0.997868},{""index"":7,""x"":0.500673,""y"":0.339831,""visibility"":0.998103},{""index"":8,""x"":0.447353,""y"":0.33581,""visibility"":0.99891},{""index"":9,""x"":0.495799,""y"":0.373467,""visibility"":0.999589},{""index"":10,""x"":0.474977,""y"":0.373808,""visibility"":0.999661},{""index"":11,""x"":0.549193,""y"":0.479403,""visibility"":0.999879},{""index"":12,""x"":0.381271,""y"":0.464177,""visibility"":0.99987},{""index"":13,""x"":0.611669,""y"":0.595512,""visibility"":0.996448},{""index"":14,""x"":0.298221,""y"":0.576151,""visibility"":0.995245},{""index"":15,""x"":0.583462,""y"":0.71076,""visibility"":0.983723},{""index"":16,""x"":0.331936,""y"":0.696883,""visibility"":0.968679},{""index"":17,""x"":0.578389,""y"":0.745945,""visibility"":0.953275},{""index"":18,""x"":0.348037,""y"":0.734788,""visibility"":0.935465},{""index"":19,""x"":0.563098,""y"":0.735914,""visibility"":0.951142},{""index"":20,""x"":0.362789,""y"":0.723908,""visibility"":0.933188},{""index"":21,""x"":0.561138,""y"":0.723026,""visibility"":0.955402},{""index"":22,""x"":0.361445,""y"":0.712666,""visibility"":0.931587},{""index"":23,""x"":0.506754,""y"":0.800555,""visibility"":0.999683},{""index"":24,""x"":0.414372,""y"":0.801973,""visibility"":0.999654},{""index"":25,""x"":0.509967,""y"":1.019945,""visibility"":0.810929},{""index"":26,""x"":0.413306,""y"":1.017495,""visibility"":0.85318},{""index"":27,""x"":0.494322,""y"":1.201429,""visibility"":0.287168},{""index"":28,""x"":0.401759,""y"":1.199013,""visibility"":0.270288},{""index"":29,""x"":0.487167,""y"":1.223058,""visibility"":0.284278},{""index"":30,""x"":0.398532,""y"":1.216914,""visibility"":0.207857}]"
sample_0005,upper_body,2026-08-17T04:29:10.021+09:00,sample_0005_upper_body_20260817_042910_020618_rgb.jpg,sample_0005_upper_body_20260817_042910_020618_skeleton.jpg,1,0.552538,0.479958,0.999804,0.382436,0.461172,0.99984,0.503817,0.790518,0.99967,0.413254,0.790767,0.999616,"[{""index"":0,""x"":0.481669,""y"":0.358011,""visibility"":0.997469},{""index"":1,""x"":0.489508,""y"":0.333035,""visibility"":0.996557},{""index"":2,""x"":0.494314,""y"":0.333365,""visibility"":0.996597},{""index"":3,""x"":0.499124,""y"":0.333658,""visibility"":0.996176},{""index"":4,""x"":0.470779,""y"":0.330986,""visibility"":0.996701},{""index"":5,""x"":0.463156,""y"":0.330121,""visibility"":0.996765},{""index"":6,""x"":0.456142,""y"":0.329908,""visibility"":0.996597},{""index"":7,""x"":0.501783,""y"":0.343275,""visibility"":0.997469},{""index"":8,""x"":0.446372,""y"":0.340061,""visibility"":0.998793},{""index"":9,""x"":0.489532,""y"":0.376028,""visibility"":0.999564},{""index"":10,""x"":0.467084,""y"":0.375763,""visibility"":0.99967},{""index"":11,""x"":0.552538,""y"":0.479958,""visibility"":0.999804},{""index"":12,""x"":0.382436,""y"":0.461172,""visibility"":0.99984},{""index"":13,""x"":0.623417,""y"":0.607486,""visibility"":0.998332},{""index"":14,""x"":0.2877,""y"":0.564366,""visibility"":0.997547},{""index"":15,""x"":0.578226,""y"":0.708894,""visibility"":0.989592},{""index"":16,""x"":0.34586,""y"":0.688071,""visibility"":0.973695},{""index"":17,""x"":0.564878,""y"":0.740848,""visibility"":0.964522},{""index"":18,""x"":0.354333,""y"":0.734792,""visibility"":0.934515},{""index"":19,""x"":0.548656,""y"":0.729708,""visibility"":0.962108},{""index"":20,""x"":0.369331,""y"":0.721048,""visibility"":0.930836},{""index"":21,""x"":0.549983,""y"":0.718132,""visibility"":0.964389},{""index"":22,""x"":0.369628,""y"":0.705044,""visibility"":0.929055},{""index"":23,""x"":0.503817,""y"":0.790518,""visibility"":0.99967},{""index"":24,""x"":0.413254,""y"":0.790767,""visibility"":0.999616},{""index"":25,""x"":0.507375,""y"":1.016896,""visibility"":0.807461},{""index"":26,""x"":0.410719,""y"":1.013016,""visibility"":0.835215}]"
sample_0006,upper_body,2026-08-17T04:29:11.029+09:00,sample_0006_upper_body_20260817_042911_027907_rgb.jpg,sample_0006_upper_body_20260817_042911_027907_skeleton.jpg,1,0.550596,0.489395,0.999909,0.375452,0.470027,0.999922,0.504209,0.81408,0.999407,0.410603,0.807529,0.999414,"[{""index"":0,""x"":0.488147,""y"":0.355504,""visibility"":0.999221},{""index"":1,""x"":0.493782,""y"":0.332788,""visibility"":0.998952},{""index"":2,""x"":0.497842,""y"":0.333594,""visibility"":0.998964},{""index"":3,""x"":0.501629,""y"":0.334497,""visibility"":0.998844},{""index"":4,""x"":0.478025,""y"":0.329388,""visibility"":0.999053},{""index"":5,""x"":0.469969,""y"":0.32802,""visibility"":0.999117},{""index"":6,""x"":0.46194,""y"":0.327132,""visibility"":0.999103},{""index"":7,""x"":0.500837,""y"":0.345437,""visibility"":0.999376},{""index"":8,""x"":0.446134,""y"":0.338669,""visibility"":0.999687},{""index"":9,""x"":0.493081,""y"":0.375231,""visibility"":0.999883},{""index"":10,""x"":0.471787,""y"":0.374361,""visibility"":0.999915},{""index"":11,""x"":0.550596,""y"":0.489395,""visibility"":0.999909},{""index"":12,""x"":0.375452,""y"":0.470027,""visibility"":0.999922},{""index"":13,""x"":0.620818,""y"":0.629478,""visibility"":0.999053},{""index"":14,""x"":0.281039,""y"":0.605069,""visibility"":0.998118},{""index"":15,""x"":0.564879,""y"":0.720969,""visibility"":0.992795},{""index"":16,""x"":0.359144,""y"":0.713135,""visibility"":0.982757},{""index"":17,""x"":0.543599,""y"":0.753706,""visibility"":0.972623},{""index"":18,""x"":0.369535,""y"":0.750239,""visibility"":0.956877},{""index"":19,""x"":0.530902,""y"":0.740167,""visibility"":0.970909},{""index"":20,""x"":0.383965,""y"":0.73677,""visibility"":0.954563},{""index"":21,""x"":0.534543,""y"":0.729021,""visibility"":0.973795},{""index"":22,""x"":0.381611,""y"":0.724701,""visibility"":0.9549},{""index"":23,""x"":0.504209,""y"":0.81408,""visibility"":0.999407},{""index"":24,""x"":0.410603,""y"":0.807529,""visibility"":0.999414},{""index"":25,""x"":0.505673,""y"":1.051482,""visibility"":0.826432},{""index"":26,""x"":0.412077,""y"":1.034006,""visibility"":0.859899}]"
sample_0007,upper_body,2026-08-17T04:29:11.869+09:00,sample_0007_upper_body_20260817_042911_867406_rgb.jpg,sample_0007_upper_body_20260817_042911_867406_skeleton.jpg,1,0.544302,0.4888,0.999915,0.371919,0.475745,0.999925,0.501876,0.823632,0.999323,0.408763,0.818452,0.999323,"[{""index"":0,""x"":0.485977,""y"":0.357489,""visibility"":0.999338},{""index"":1,""x"":0.49203,""y"":0.334924,""visibility"":0.999015},{""index"":2,""x"":0.496105,""y"":0.335709,""visibility"":0.998996},{""index"":3,""x"":0.499826,""y"":0.336605,""visibility"":0.998914},{""index"":4,""x"":0.475716,""y"":0.331119,""visibility"":0.999085},{""index"":5,""x"":0.467733,""y"":0.329449,""visibility"":0.999131},{""index"":6,""x"":0.459911,""y"":0.328404,""visibility"":0.999137},{""index"":7,""x"":0.498233,""y"":0.345982,""visibility"":0.999248},{""index"":8,""x"":0.44321,""y"":0.338707,""visibility"":0.999617},{""index"":9,""x"":0.490679,""y"":0.376686,""visibility"":0.999842},{""index"":10,""x"":0.468142,""y"":0.375499,""visibility"":0.999887},{""index"":11,""x"":0.544302,""y"":0.4888,""visibility"":0.999915},{""index"":12,""x"":0.371919,""y"":0.475745,""visibility"":0.999925},{""index"":13,""x"":0.613593,""y"":0.626838,""visibility"":0.998716},{""index"":14,""x"":0.278504,""y"":0.611383,""visibility"":0.9978},{""index"":15,""x"":0.564576,""y"":0.722228,""visibility"":0.992683},{""index"":16,""x"":0.350719,""y"":0.717624,""visibility"":0.983909},{""index"":17,""x"":0.545686,""y"":0.758655,""visibility"":0.973795},{""index"":18,""x"":0.364173,""y"":0.757349,""visibility"":0.96051},{""index"":19,""x"":0.531967,""y"":0.745176,""visibility"":0.972467},{""index"":20,""x"":0.378538,""y"":0.742407,""visibility"":0.958847},{""index"":21,""x"":0.535941,""y"":0.733466,""visibility"":0.974629},{""index"":22,""x"":0.375959,""y"":0.728532,""visibility"":0.957991},{""index"":23,""x"":0.501876,""y"":0.823632,""visibility"":0.999323},{""index"":24,""x"":0.408763,""y"":0.818452,""visibility"":0.999323},{""index"":25,""x"":0.503259,""y"":1.053713,""visibility"":0.771672},{""index"":26,""x"":0.40996,""y"":1.065325,""visibility"":0.818156},{""index"":28,""x"":0.412601,""y"":1.260785,""visibility"":0.205615}]"
sample_0008,upper_body,2026-08-17T04:29:12.545+09:00,sample_0008_upper_body_20260817_042912_543818_rgb.jpg,sample_0008_upper_body_20260817_042912_543818_skeleton.jpg,1,0.543005,0.484968,0.999939,0.367287,0.477089,0.999943,0.501991,0.826817,0.999307,0.407322,0.824178,0.999371,"[{""index"":0,""x"":0.479414,""y"":0.356192,""visibility"":0.999449},{""index"":1,""x"":0.484802,""y"":0.33287,""visibility"":0.99918},{""index"":2,""x"":0.489188,""y"":0.333182,""visibility"":0.99918},{""index"":3,""x"":0.493285,""y"":0.333577,""visibility"":0.999082},{""index"":4,""x"":0.467837,""y"":0.330561,""visibility"":0.999186},{""index"":5,""x"":0.459994,""y"":0.329551,""visibility"":0.999224},{""index"":6,""x"":0.452447,""y"":0.328911,""visibility"":0.999221},{""index"":7,""x"":0.492117,""y"":0.34215,""visibility"":0.999364},{""index"":8,""x"":0.436924,""y"":0.339115,""visibility"":0.99965},{""index"":9,""x"":0.485138,""y"":0.374785,""visibility"":0.999861},{""index"":10,""x"":0.462868,""y"":0.374298,""visibility"":0.999897},{""index"":11,""x"":0.543005,""y"":0.484968,""visibility"":0.999939},{""index"":12,""x"":0.367287,""y"":0.477089,""visibility"":0.999943},{""index"":13,""x"":0.614315,""y"":0.624256,""visibility"":0.999273},{""index"":14,""x"":0.272305,""y"":0.617234,""visibility"":0.998118},{""index"":15,""x"":0.56619,""y"":0.724258,""visibility"":0.995408},{""index"":16,""x"":0.348465,""y"":0.723055,""visibility"":0.988403},{""index"":17,""x"":0.546302,""y"":0.760079,""visibility"":0.981945},{""index"":18,""x"":0.363012,""y"":0.760961,""visibility"":0.971992},{""index"":19,""x"":0.532315,""y"":0.746655,""visibility"":0.980913},{""index"":20,""x"":0.377356,""y"":0.745873,""visibility"":0.970521},{""index"":21,""x"":0.536543,""y"":0.734983,""visibility"":0.982624},{""index"":22,""x"":0.374356,""y"":0.733377,""visibility"":0.969728},{""index"":23,""x"":0.501991,""y"":0.826817,""visibility"":0.999307},{""index"":24,""x"":0.407322,""y"":0.824178,""visibility"":0.999371},{""index"":25,""x"":0.501352,""y"":1.080027,""visibility"":0.725551},{""index"":26,""x"":0.408883,""y"":1.067635,""visibility"":0.792464}]"
sample_0009,upper_body,2026-08-17T04:29:13.219+09:00,sample_0009_upper_body_20260817_042913_217866_rgb.jpg,sample_0009_upper_body_20260817_042913_217866_skeleton.jpg,1,0.546496,0.511161,0.999908,0.368275,0.508287,0.999866,0.503467,0.856627,0.998731,0.407571,0.853892,0.998784,"[{""index"":0,""x"":0.482107,""y"":0.391288,""visibility"":0.998956},{""index"":1,""x"":0.486784,""y"":0.36644,""visibility"":0.99874},{""index"":2,""x"":0.490678,""y"":0.36638,""visibility"":0.998755},{""index"":3,""x"":0.49446,""y"":0.366311,""visibility"":0.998638},{""index"":4,""x"":0.472293,""y"":0.365027,""visibility"":0.998784},{""index"":5,""x"":0.464376,""y"":0.36393,""visibility"":0.998844},{""index"":6,""x"":0.455932,""y"":0.363214,""visibility"":0.99883},{""index"":7,""x"":0.492212,""y"":0.373493,""visibility"":0.999071},{""index"":8,""x"":0.438429,""y"":0.372396,""visibility"":0.999504},{""index"":9,""x"":0.487349,""y"":0.411299,""visibility"":0.999768},{""index"":10,""x"":0.466018,""y"":0.41108,""visibility"":0.999826},{""index"":11,""x"":0.546496,""y"":0.511161,""visibility"":0.999908},{""index"":12,""x"":0.368275,""y"":0.508287,""visibility"":0.999866},{""index"":13,""x"":0.615265,""y"":0.660313,""visibility"":0.999493},{""index"":14,""x"":0.280389,""y"":0.652345,""visibility"":0.997622},{""index"":15,""x"":0.56382,""y"":0.754407,""visibility"":0.995408},{""index"":16,""x"":0.354828,""y"":0.755357,""visibility"":0.983597},{""index"":17,""x"":0.542818,""y"":0.792011,""visibility"":0.981167},{""index"":18,""x"":0.367385,""y"":0.792856,""visibility"":0.961098},{""index"":19,""x"":0.531993,""y"":0.77761,""visibility"":0.980394},{""index"":20,""x"":0.382446,""y"":0.778914,""visibility"":0.959611},{""index"":21,""x"":0.53499,""y"":0.766452,""visibility"":0.983085},{""index"":22,""x"":0.380903,""y"":0.764669,""visibility"":0.960287},{""index"":23,""x"":0.503467,""y"":0.856627,""visibility"":0.998731},{""index"":24,""x"":0.407571,""y"":0.853892,""visibility"":0.998784},{""index"":25,""x"":0.50174,""y"":1.119281,""visibility"":0.676513},{""index"":26,""x"":0.404797,""y"":1.101127,""visibility"":0.665845}]"
sample_0010,upper_body,2026-08-17T04:29:20.288+09:00,sample_0010_upper_body_20260817_042920_287763_rgb.jpg,sample_0010_upper_body_20260817_042920_287763_skeleton.jpg,1,0.539109,0.479671,0.999954,0.362616,0.479379,0.99996,0.499045,0.823149,0.999655,0.406257,0.82074,0.999667,"[{""index"":0,""x"":0.454724,""y"":0.353855,""visibility"":0.999816},{""index"":1,""x"":0.463593,""y"":0.327444,""visibility"":0.999753},{""index"":2,""x"":0.469636,""y"":0.327077,""visibility"":0.99976},{""index"":3,""x"":0.475509,""y"":0.326808,""visibility"":0.999733},{""index"":4,""x"":0.443182,""y"":0.327513,""visibility"":0.999749},{""index"":5,""x"":0.43646,""y"":0.327617,""visibility"":0.999751},{""index"":6,""x"":0.430314,""y"":0.328226,""visibility"":0.999743},{""index"":7,""x"":0.480845,""y"":0.335162,""visibility"":0.999822},{""index"":8,""x"":0.421351,""y"":0.339546,""visibility"":0.999891},{""index"":9,""x"":0.465852,""y"":0.372985,""visibility"":0.999957},{""index"":10,""x"":0.441398,""y"":0.374495,""visibility"":0.999962},{""index"":11,""x"":0.539109,""y"":0.479671,""visibility"":0.999954},{""index"":12,""x"":0.362616,""y"":0.479379,""visibility"":0.99996},{""index"":13,""x"":0.611538,""y"":0.627009,""visibility"":0.999379},{""index"":14,""x"":0.273526,""y"":0.625675,""visibility"":0.99839},{""index"":15,""x"":0.561289,""y"":0.726579,""visibility"":0.995735},{""index"":16,""x"":0.351346,""y"":0.729409,""visibility"":0.988085},{""index"":17,""x"":0.540785,""y"":0.764795,""visibility"":0.983971},{""index"":18,""x"":0.364958,""y"":0.767735,""visibility"":0.971939},{""index"":19,""x"":0.52727,""y"":0.75188,""visibility"":0.982955},{""index"":20,""x"":0.380043,""y"":0.753219,""visibility"":0.969957},{""index"":21,""x"":0.530954,""y"":0.738913,""visibility"":0.985215},{""index"":22,""x"":0.37833,""y"":0.739172,""visibility"":0.971184},{""index"":23,""x"":0.499045,""y"":0.823149,""visibility"":0.999655},{""index"":24,""x"":0.406257,""y"":0.82074,""visibility"":0.999667},{""index"":25,""x"":0.502559,""y"":1.051602,""visibility"":0.782496},{""index"":26,""x"":0.405374,""y"":1.064267,""visibility"":0.862004}]"
